model_identifier,1nn_accuracy,ft_accuracy
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.44499999999999995,0.0099999997764825
schoenml/swin-tiny-patch4-window7-224-finetuned-eurosat,0.43999999999999995,0.0499999970197677
zzzzzzttt/swin-tiny-patch4-window7-224-finetuned-eurosat,0.43500000000000005,0.0350000001490116
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.43500000000000005,0.0049999998882412
facebook/data2vec-vision-base,0.43000000000000005,0.0
Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.43000000000000005,0.0099999997764825
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.42500000000000004,0.699999988079071
KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.42000000000000004,0.0
microsoft/beit-large-patch16-224,0.41500000000000004,
nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.41000000000000003,0.0049999998882412
aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.405,0.0049999998882412
Jazzweller/swin-tiny-patch4-window7-224-finetuned-eurosat,0.39,0.6349999904632568
microsoft/swin-tiny-patch4-window7-224,0.39,0.7299999594688416
Ahmed9275/ALL-3,0.375,0.7149999737739563
microsoft/swin-small-patch4-window7-224,0.37,0.7549999952316284
AkshatSurolia/ViT-FaceMask-Finetuned,0.36,0.1049999967217445
jadohu/BEiT-finetuned,0.36,0.199999988079071
Matthijs/snacks-classifier,0.355,0.0
microsoft/beit-large-patch16-224-pt22k-ft22k,0.35,
nielsr/beit-large-patch16-224-pt22k-ft22k,0.35,0.0549999997019767
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.345,0.6599999666213989
microsoft/beit-base-patch16-224-pt22k-ft22k,0.33999999999999997,0.0249999985098838
plantdoctor/swin-tiny-patch4-window7-224-plant-doctor,0.31000000000000005,0.7149999737739563
ibombonato/swin-age-classifier,0.30500000000000005,0.0
nielsr/beit-base-patch16-224,0.30500000000000005,0.044999998062849
microsoft/beit-base-patch16-224,0.30500000000000005,0.0099999997764825
facebook/data2vec-vision-base-ft1k,0.29500000000000004,0.3100000023841858
facebook/data2vec-vision-large-ft1k,0.28,
daveni/upside_down_classifier,0.28,0.1299999952316284
