model_identifier,1nn_accuracy,ft_accuracy
mrm8488/data2vec-base-finetuned-imagenet1k,0.22999999999999998,0.4650000035762787
Ahmed9275/ALL-test,0.21999999999999997,0.5399999618530273
plantdoctor/swin-tiny-patch4-window7-224-plant-doctor,0.21499999999999997,0.4350000023841858
nielsr/beit-base-patch16-224,0.20499999999999996,0.0299999993294477
microsoft/beit-base-patch16-224,0.20499999999999996,0.0599999986588954
microsoft/beit-base-patch16-224-pt22k-ft22k,0.19499999999999995,0.5099999904632568
microsoft/beit-base-patch16-384,0.18500000000000005,
AkshatSurolia/ViT-FaceMask-Finetuned,0.17500000000000004,0.1899999976158142
daveni/upside_down_classifier,0.14500000000000002,0.1449999958276748
microsoft/beit-large-patch16-224-pt22k,0.135,
microsoft/dit-base-finetuned-rvlcdip,0.10999999999999999,0.2949999868869781
microsoft/beit-base-patch16-224-pt22k,0.10499999999999998,0.1149999946355819
AkshatSurolia/BEiT-FaceMask-Finetuned,0.10499999999999998,0.199999988079071
microsoft/dit-large-finetuned-rvlcdip,0.09999999999999998,
davanstrien/vit_flyswot_test,0.09999999999999998,
dimbyTa/rock-challenge-DeiT-solo,0.09999999999999998,0.0799999982118606
nates-test-org/convit_base,0.07999999999999996,
nates-test-org/convit_tiny,0.07999999999999996,0.0799999982118606
timm/vit_huge_patch14_224_in21k,0.07999999999999996,
nates-test-org/convit_small,0.07999999999999996,0.0749999955296516
lysandre/tiny-vit-random,0.07499999999999996,0.0399999991059303
nateraw/test_model_a,0.07499999999999996,0.0399999991059303
hf-internal-testing/tiny-random-vit,0.05500000000000005,0.0199999995529651
dimbyTa/rock-challenge-DeiT-solo-2,0.050000000000000044,0.0399999991059303
